row_id,order_id,created_at,item_id,quantity,cust_id,delivery,add_id
75,O100075,2026-01-09 19:32:37,2,1,33,1,33
76,O100076,2026-01-12 18:01:03,28,3,23,1,23
77,O100077,2026-01-20 18:28:04,25,1,219,0,219
78,O100078,2025-10-19 13:40:37,10,1,76,0,76
79,O100079,2026-01-11 17:27:06,19,1,272,1,272
80,O100080,2026-01-05 17:14:26,5,1,283,0,283
81,O100081,2025-12-06 17:42:16,6,1,213,0,213
82,O100082,2025-10-10 20:05:27,2,2,243,0,243
83,O100083,2026-02-14 21:35:21,14,1,67,0,67
84,O100084,2025-11-29 18:22:06,11,1,217,0,217
85,O100085,2025-10-14 13:35:23,2,1,247,0,247
86,O100086,2026-02-07 21:52:39,13,2,116,1,116
87,O100087,2025-09-24 12:44:48,5,1,14,1,14
88,O100088,2025-10-23 18:25:04,2,2,4,0,4
89,O100089,2026-01-30 12:26:29,5,1,16,0,16
90,O100090,2025-09-30 12:48:39,1,1,167,0,167
91,O100091,2026-01-19 18:26:17,3,1,227,1,227
92,O100092,2025-10-15 13:43:37,9,2,177,1,177
93,O100093,2025-12-27 21:03:00,3,3,24,0,24
94,O100094,2025-11-30 13:00:31,17,1,71,1,71
95,O100095,2026-01-23 18:42:51,6,1,195,0,195
96,O100096,2025-09-21 17:04:55,5,1,22,1,22
97,O100097,2025-11-30 12:01:20,2,3,208,1,208
98,O100098,2025-10-09 17:06:15,8,1,236,1,236
99,O100099,2025-12-05 19:14:21,19,1,41,1,41
100,O100100,2025-12-15 13:52:41,20,1,59,0,59
101,O100101,2025-11-06 12:09:48,18,1,75,1,75
102,O100102,2026-02-08 19:28:43,26,2,253,1,253
103,O100103,2025-10-25 17:30:28,13,2,166,1,166
104,O100104,2026-01-24 11:29:28,1,1,29,1,29
105,O100105,2026-03-01 19:54:05,13,1,147,0,147
106,O100106,2026-01-10 20:36:41,3,2,237,0,237
107,O100107,2025-10-02 17:51:57,21,4,257,0,257
108,O100108,2025-09-27 13:28:28,10,2,44,0,44
109,O100109,2025-11-28 17:49:21,15,1,187,1,187
110,O100110,2025-12-10 11:43:24,4,2,172,0,172
111,O100111,2025-10-07 18:09:58,6,4,77,1,77
112,O100112,2026-02-16 18:05:19,11,2,201,0,201
113,O100113,2026-03-07 19:47:43,25,1,169,0,169
114,O100114,2025-09-21 13:11:13,5,2,217,1,217
115,O100115,2025-10-22 12:18:54,19,1,99,0,99
116,O100116,2026-03-05 13:49:39,2,1,277,0,277
117,O100117,2026-03-13 19:51:57,2,1,84,0,84
118,O100118,2026-03-09 19:28:39,4,2,211,1,211
119,O100119,2026-01-31 12:51:50,9,3,230,0,230
120,O100120,2026-01-13 19:49:24,9,1,189,1,189
121,O100121,2026-02-18 12:16:03,13,3,83,0,83
122,O100122,2026-01-27 19:18:05,18,1,284,0,284
123,O100123,2026-01-06 11:58:14,20,3,263,0,263
124,O100124,2025-09-30 17:23:15,6,1,14,1,14
125,O100125,2025-12-07 20:53:45,14,2,115,0,115
126,O100126,2025-11-29 20:30:44,21,2,71,0,71
127,O100127,2026-02-21 11:05:01,4,3,241,1,241
128,O100128,2025-10-15 19:15:19,2,1,281,1,281
129,O100129,2025-10-15 19:31:38,10,2,235,0,235
130,O100130,2025-10-23 13:00:39,6,2,295,0,295
131,O100131,2026-01-29 20:04:33,10,2,96,0,96
132,O100132,2025-12-25 19:02:40,6,1,260,0,260
133,O100133,2025-10-04 13:46:42,13,2,9,1,9
134,O100134,2025-09-28 13:21:52,13,3,171,0,171
135,O100135,2026-02-25 12:08:04,16,3,238,1,238
136,O100136,2025-11-07 11:12:56,1,3,19,1,19
137,O100137,2026-02-03 17:02:48,14,1,264,1,264
138,O100138,2025-11-25 12:23:27,24,2,25,1,25
139,O100139,2025-11-03 17:31:23,26,1,198,1,198
140,O100140,2025-10-07 17:52:11,10,1,43,1,43
141,O100141,2026-03-05 13:28:38,16,1,41,1,41
142,O100142,2026-01-09 11:55:58,6,4,228,1,228
143,O100143,2025-10-06 18:25:23,10,2,141,0,141
144,O100144,2025-10-23 19:43:50,8,1,82,0,82
145,O100145,2025-12-18 13:36:02,12,2,121,1,121
146,O100146,2026-01-08 19:36:08,10,1,190,1,190
147,O100147,2025-10-16 11:11:31,10,3,143,0,143
148,O100148,2025-11-22 19:13:39,4,3,61,1,61
149,O100149,2025-10-18 12:04:28,2,2,252,0,252
150,O100150,2026-03-06 13:04:35,10,3,45,1,45
151,O100151,2025-12-18 17:07:12,19,1,81,0,81
152,O100152,2025-12-18 18:23:29,20,2,253,0,253
153,O100153,2025-12-05 17:45:46,9,1,45,0,45
154,O100154,2025-10-19 20:41:04,8,2,210,0,210
155,O100155,2026-02-05 18:11:49,27,1,177,0,177
156,O100156,2026-01-27 12:10:10,5,2,29,0,29
157,O100157,2025-10-07 12:40:35,4,2,178,1,178
158,O100158,2026-01-23 18:37:37,2,2,274,0,274
159,O100159,2025-09-24 11:41:49,11,2,173,0,173
160,O100160,2026-02-22 18:31:56,13,1,293,1,293
161,O100161,2025-11-18 19:43:25,4,1,155,1,155
162,O100162,2026-01-07 17:29:13,5,1,31,0,31
163,O100163,2025-12-28 12:23:32,11,1,164,1,164
164,O100164,2025-11-24 17:09:06,1,3,239,0,239
165,O100165,2025-10-27 19:59:36,17,1,215,0,215
166,O100166,2026-01-26 17:56:19,9,1,82,1,82
167,O100167,2025-11-17 12:22:03,1,1,202,1,202
168,O100168,2026-02-01 11:06:27,2,1,241,1,241
169,O100169,2025-12-19 11:03:36,11,1,188,1,188
170,O100170,2025-12-24 17:48:35,4,4,148,0,148
171,O100171,2025-10-11 17:50:21,11,1,61,0,61
172,O100172,2026-02-18 17:32:02,1,1,74,0,74
173,O100173,2026-01-27 17:38:57,10,1,171,1,171
174,O100174,2025-12-26 21:47:53,4,1,164,0,164
175,O100175,2026-02-08 13:52:01,6,2,261,1,261
176,O100176,2026-03-12 18:38:30,4,2,214,1,214
177,O100177,2025-09-30 18:10:33,13,2,297,0,297
178,O100178,2026-03-10 12:36:44,2,1,195,0,195
179,O100179,2025-10-25 17:13:26,9,2,161,1,161
180,O100180,2025-10-22 18:35:20,28,1,242,0,242
181,O100181,2025-10-31 17:34:21,10,2,193,1,193
182,O100182,2025-11-05 20:17:35,4,3,136,1,136
183,O100183,2025-11-09 18:31:20,9,2,153,1,153
184,O100184,2025-10-18 18:34:24,24,1,141,1,141
185,O100185,2025-11-30 11:45:05,5,1,177,0,177
186,O100186,2025-11-10 12:34:17,26,2,132,1,132
187,O100187,2026-02-21 19:15:15,1,3,71,0,71
188,O100188,2025-09-30 12:21:45,9,2,116,0,116
189,O100189,2026-02-04 20:10:26,14,3,71,0,71
190,O100190,2026-03-02 12:18:20,4,1,244,1,244
191,O100191,2026-01-31 19:54:59,1,3,46,0,46
192,O100192,2025-09-26 21:25:50,9,3,214,0,214
193,O100193,2025-09-19 13:38:06,26,1,149,0,149
194,O100194,2025-10-21 19:29:17,3,1,233,1,233
195,O100195,2026-03-01 12:11:00,17,2,84,1,84
196,O100196,2025-10-31 18:40:57,7,1,291,0,291
197,O100197,2025-12-28 18:11:08,9,3,168,0,168
198,O100198,2025-12-24 12:48:17,27,1,4,1,4
199,O100199,2025-11-22 19:44:15,1,1,294,0,294
200,O100200,2025-12-29 18:59:57,24,2,158,0,158
201,O100201,2025-12-20 18:14:08,9,1,61,1,61
202,O100202,2026-03-15 18:30:48,10,2,192,1,192
203,O100203,2026-03-10 19:55:50,1,1,112,0,112
204,O100204,2026-02-08 12:53:35,25,1,186,0,186
205,O100205,2025-10-29 13:33:28,2,1,275,0,275
206,O100206,2025-10-10 20:28:51,1,1,299,1,299
207,O100207,2026-02-08 11:29:43,20,2,213,1,213
208,O100208,2025-09-17 19:37:04,1,1,203,1,203
209,O100209,2025-10-04 21:30:02,4,1,33,0,33
210,O100210,2025-12-21 20:24:28,23,3,70,1,70
211,O100211,2026-03-10 20:55:34,2,3,193,0,193
212,O100212,2026-02-01 17:08:46,28,3,61,0,61
213,O100213,2026-01-13 18:34:27,10,2,12,1,12
214,O100214,2025-12-14 12:12:59,23,2,127,1,127
215,O100215,2026-02-21 19:56:56,1,1,17,1,17
216,O100216,2026-01-09 18:45:55,1,2,52,0,52
217,O100217,2025-11-15 18:48:55,19,1,206,1,206
218,O100218,2026-02-11 13:38:49,14,1,149,0,149
219,O100219,2026-03-05 18:26:19,4,2,155,0,155
220,O100220,2026-02-06 18:22:41,14,2,90,1,90
221,O100221,2025-12-30 12:24:11,18,1,164,1,164
222,O100222,2025-10-23 19:58:03,11,4,116,1,116
223,O100223,2025-12-25 12:13:21,14,3,286,0,286
224,O100224,2026-02-01 19:12:03,4,2,190,0,190
225,O100225,2025-11-04 19:37:46,14,1,21,0,21
226,O100226,2025-12-03 20:00:13,26,4,107,1,107
227,O100227,2025-11-18 18:45:13,7,1,61,1,61
228,O100228,2025-12-23 17:41:22,5,1,165,1,165
229,O100229,2025-10-12 19:46:30,18,1,255,1,255
230,O100230,2025-12-06 17:36:55,3,1,105,1,105
231,O100231,2025-12-01 12:21:14,6,3,134,1,134
232,O100232,2025-11-21 19:31:46,13,1,256,1,256
233,O100233,2025-10-30 12:34:31,2,3,87,1,87
234,O100234,2025-10-06 20:42:03,18,1,31,0,31
235,O100235,2025-10-25 11:32:29,6,2,119,0,119
236,O100236,2025-09-21 11:35:26,1,1,248,1,248
237,O100237,2025-09-21 17:44:43,7,3,141,1,141
238,O100238,2025-10-11 18:15:12,13,1,92,0,92
239,O100239,2025-12-27 11:25:29,11,4,182,1,182
240,O100240,2026-03-11 19:05:41,28,2,116,1,116
241,O100241,2025-12-29 13:35:30,1,1,17,0,17
242,O100242,2026-01-22 19:41:50,5,4,88,0,88
243,O100243,2025-11-14 12:55:44,24,1,49,0,49
244,O100244,2026-03-11 20:57:34,11,1,24,0,24
245,O100245,2025-11-09 18:48:52,16,1,162,0,162
246,O100246,2025-10-28 18:36:53,21,2,40,1,40
247,O100247,2025-12-24 19:08:50,28,2,277,1,277
248,O100248,2025-09-30 11:14:53,1,2,257,1,257
249,O100249,2025-09-24 18:50:28,9,1,204,1,204
250,O100250,2025-11-03 18:42:24,1,2,193,1,193
251,O100251,2025-10-08 12:24:45,19,1,127,0,127
252,O100252,2025-12-18 12:00:19,8,2,200,1,200
253,O100253,2025-10-09 12:28:35,11,1,53,0,53
254,O100254,2025-12-16 18:38:38,19,3,14,0,14
255,O100255,2025-12-31 17:05:46,25,3,7,1,7
256,O100256,2026-03-11 13:08:17,5,1,125,0,125
257,O100257,2026-01-06 13:19:30,19,1,33,0,33
258,O100258,2026-02-16 18:29:06,2,1,127,1,127
259,O100259,2026-02-22 13:55:21,8,1,203,1,203
260,O100260,2025-12-08 18:44:12,9,1,70,1,70
261,O100261,2025-11-30 19:40:31,27,2,204,1,204
262,O100262,2025-11-27 19:25:23,2,2,167,1,167
263,O100263,2026-03-10 19:01:46,8,2,280,0,280
264,O100264,2026-03-13 11:54:50,19,2,225,1,225
265,O100265,2025-11-17 12:09:45,7,1,72,1,72
266,O100266,2026-02-13 17:32:59,26,2,230,1,230
267,O100267,2025-12-18 18:51:34,12,3,279,0,279
268,O100268,2026-03-04 18:10:41,13,2,56,0,56
269,O100269,2026-01-05 12:06:16,3,2,205,1,205
270,O100270,2026-01-09 17:29:49,15,2,286,0,286
271,O100271,2025-09-23 17:18:26,26,1,78,1,78
272,O100272,2025-12-05 13:50:13,10,1,73,1,73
273,O100273,2026-03-14 17:04:19,1,2,50,1,50
274,O100274,2026-03-01 12:51:10,26,2,12,1,12
275,O100275,2026-02-05 12:35:27,27,1,265,0,265
276,O100276,2025-11-03 18:27:25,1,2,208,0,208
277,O100277,2026-02-15 17:00:45,3,1,102,1,102
278,O100278,2026-02-01 12:20:12,8,1,33,0,33
279,O100279,2026-02-16 17:25:37,2,1,251,1,251
280,O100280,2026-03-08 18:19:58,13,1,235,0,235
281,O100281,2025-10-17 12:07:11,6,1,69,1,69
282,O100282,2026-02-16 12:24:27,3,2,199,1,199
283,O100283,2026-01-20 13:11:20,21,2,89,0,89
284,O100284,2026-01-19 12:52:24,27,1,184,0,184
285,O100285,2026-03-11 17:45:53,8,1,254,1,254
286,O100286,2025-11-12 13:17:14,10,1,290,0,290
287,O100287,2026-02-04 17:36:07,4,1,235,1,235
288,O100288,2026-01-07 18:27:06,17,2,188,0,188
289,O100289,2025-09-25 17:22:55,20,1,127,1,127
290,O100290,2025-11-09 19:37:44,6,2,61,0,61
291,O100291,2026-02-21 12:13:52,3,1,220,0,220
292,O100292,2026-02-16 18:20:45,4,2,180,1,180
293,O100293,2025-10-21 20:50:26,26,4,264,0,264
294,O100294,2025-11-19 12:20:53,3,3,65,0,65
295,O100295,2025-10-23 18:17:40,7,1,202,1,202
296,O100296,2026-01-26 19:44:59,23,1,48,1,48
297,O100297,2026-02-12 11:49:54,17,2,250,1,250
298,O100298,2025-10-03 19:25:13,27,2,235,1,235
299,O100299,2025-12-08 19:21:35,11,2,254,1,254
300,O100300,2026-03-10 19:02:06,13,3,249,1,249
301,O100301,2025-10-27 17:00:27,3,2,9,0,9
302,O100302,2025-10-27 19:56:17,2,1,68,1,68
303,O100303,2026-03-06 20:10:03,7,1,43,1,43
304,O100304,2026-03-03 11:06:00,3,1,120,1,120
305,O100305,2025-09-19 11:21:52,2,3,116,1,116
306,O100306,2025-10-05 12:05:46,20,1,68,1,68
307,O100307,2025-10-22 13:52:48,23,2,189,1,189
308,O100308,2026-01-30 18:39:41,2,1,74,0,74
309,O100309,2025-12-31 18:28:55,3,3,110,0,110
310,O100310,2026-02-14 19:22:27,5,1,72,0,72
311,O100311,2025-11-19 18:38:46,12,2,142,0,142
312,O100312,2025-11-08 18:32:12,18,1,14,1,14
313,O100313,2026-01-21 17:15:31,13,1,28,0,28
314,O100314,2025-12-07 12:55:53,11,1,7,1,7
315,O100315,2025-10-05 11:04:00,4,1,89,1,89
316,O100316,2026-01-24 13:45:32,18,1,31,1,31
317,O100317,2026-02-27 18:39:09,4,1,206,0,206
318,O100318,2025-10-26 18:25:37,13,3,262,0,262
319,O100319,2026-03-14 17:54:15,1,1,34,1,34
320,O100320,2026-01-11 18:03:19,14,2,223,0,223
321,O100321,2025-09-20 19:44:00,2,4,90,0,90
322,O100322,2025-10-29 13:47:49,23,2,268,1,268
323,O100323,2025-12-11 19:17:33,1,2,61,0,61
324,O100324,2026-01-22 17:23:03,9,2,296,0,296
325,O100325,2025-11-21 19:57:36,14,1,189,0,189
326,O100326,2025-09-28 19:00:15,1,1,261,0,261
327,O100327,2025-09-26 18:58:45,17,1,77,0,77
328,O100328,2026-01-01 20:20:17,21,2,165,0,165
329,O100329,2025-11-01 12:33:02,27,1,62,0,62
330,O100330,2025-12-05 13:35:29,1,1,239,1,239
331,O100331,2026-02-23 12:23:37,27,4,289,1,289
332,O100332,2025-10-25 11:26:01,3,1,101,0,101
333,O100333,2025-09-17 19:24:54,17,1,5,1,5
334,O100334,2026-01-02 18:03:09,16,1,106,0,106
335,O100335,2026-03-15 19:29:47,1,1,119,1,119
336,O100336,2025-10-06 18:03:27,14,1,69,1,69
337,O100337,2025-12-06 20:25:44,21,1,150,1,150
338,O100338,2025-11-15 11:12:08,19,2,232,1,232
339,O100339,2025-10-29 17:20:26,2,1,80,0,80
340,O100340,2025-12-04 17:54:07,2,2,107,1,107
341,O100341,2025-11-11 19:20:09,2,1,156,0,156
342,O100342,2026-01-26 11:19:16,20,1,183,1,183
343,O100343,2026-02-06 19:15:06,8,2,208,1,208
344,O100344,2025-09-20 11:49:14,2,2,72,0,72
345,O100345,2026-02-13 18:58:52,1,4,191,0,191
346,O100346,2025-10-19 11:54:53,20,1,102,1,102
347,O100347,2025-10-30 20:27:52,17,1,237,0,237
348,O100348,2025-10-31 13:58:11,4,1,196,1,196
349,O100349,2026-02-21 18:15:41,4,1,77,0,77
350,O100350,2025-10-02 11:24:08,7,2,282,1,282
351,O100351,2026-02-25 20:34:50,1,1,270,0,270
352,O100352,2026-02-03 19:22:58,11,1,184,1,184
353,O100353,2025-09-23 13:14:01,24,2,139,0,139
354,O100354,2026-01-30 17:37:14,27,1,30,1,30
355,O100355,2026-01-31 19:58:47,1,4,124,1,124
356,O100356,2025-12-16 20:54:11,2,2,113,1,113
357,O100357,2026-03-15 13:36:36,2,3,184,0,184
358,O100358,2025-10-31 18:05:03,3,1,253,1,253
359,O100359,2025-09-17 13:39:12,20,1,270,1,270
360,O100360,2025-10-02 11:37:45,26,2,91,1,91
361,O100361,2025-10-05 13:42:25,12,1,270,1,270
362,O100362,2025-10-27 19:27:50,13,1,166,0,166
363,O100363,2026-02-07 19:59:39,19,1,163,0,163
364,O100364,2025-12-04 19:18:08,2,1,90,1,90
365,O100365,2026-02-09 11:38:20,26,4,294,1,294
366,O100366,2026-01-22 12:47:04,3,4,114,0,114
367,O100367,2026-03-07 18:56:21,8,1,86,0,86
368,O100368,2025-12-15 12:06:46,1,1,128,0,128
369,O100369,2025-12-31 17:24:22,10,1,215,0,215
370,O100370,2025-10-28 17:51:54,1,1,246,0,246
371,O100371,2025-10-05 13:56:24,2,1,134,0,134
372,O100372,2026-02-16 20:57:30,16,1,48,1,48
373,O100373,2025-10-27 11:21:13,27,1,85,1,85
374,O100374,2026-03-05 13:15:06,1,2,284,1,284
375,O100375,2025-09-30 13:27:05,4,2,252,0,252
376,O100376,2025-10-11 11:10:40,4,1,246,0,246
377,O100377,2025-12-27 18:57:42,4,2,60,1,60
378,O100378,2025-12-20 20:23:11,8,1,199,0,199
379,O100379,2025-11-13 19:36:03,2,2,239,1,239
380,O100380,2026-03-07 13:34:26,27,2,50,0,50
381,O100381,2025-12-25 19:26:34,15,3,284,0,284
382,O100382,2026-01-16 13:25:57,22,1,294,0,294
383,O100383,2025-10-17 21:28:11,27,1,293,0,293
384,O100384,2025-10-19 11:05:43,8,4,109,0,109
385,O100385,2025-12-07 20:58:51,1,1,76,1,76
386,O100386,2025-11-26 18:58:55,1,2,204,1,204
387,O100387,2025-10-15 17:09:36,12,2,268,1,268
388,O100388,2026-02-08 19:50:18,22,3,52,0,52
389,O100389,2025-12-24 18:36:38,9,1,211,1,211
390,O100390,2026-02-22 18:44:25,1,3,207,0,207
391,O100391,2025-09-29 19:58:17,24,1,170,0,170
392,O100392,2025-11-27 19:54:44,15,4,156,1,156
393,O100393,2025-12-02 20:28:49,21,1,117,0,117
394,O100394,2025-11-04 17:58:52,7,1,214,0,214
395,O100395,2025-10-01 18:10:04,5,1,265,1,265
396,O100396,2025-10-31 12:53:12,21,1,70,0,70
397,O100397,2025-12-18 18:17:23,20,1,234,0,234
398,O100398,2025-11-17 13:38:28,2,3,64,0,64
399,O100399,2025-12-14 12:57:16,18,2,283,1,283
400,O100400,2025-12-24 11:54:36,19,1,146,0,146
401,O100401,2026-03-09 12:41:26,10,3,114,0,114
402,O100402,2025-10-20 18:38:51,1,1,5,1,5
403,O100403,2026-01-03 20:54:22,8,1,157,1,157
404,O100404,2026-02-13 12:32:42,27,3,155,1,155
405,O100405,2025-12-02 18:30:04,5,1,288,1,288
406,O100406,2025-11-22 19:57:41,4,1,167,1,167
407,O100407,2026-02-17 17:20:43,2,1,124,0,124
408,O100408,2025-11-22 20:25:24,17,2,255,1,255
409,O100409,2025-12-13 19:14:43,10,2,293,0,293
410,O100410,2025-10-30 19:56:35,2,1,184,1,184
411,O100411,2026-02-07 19:11:43,25,2,66,1,66
412,O100412,2025-11-13 19:19:26,19,1,114,1,114
413,O100413,2026-01-13 19:30:03,22,2,134,1,134
414,O100414,2025-11-05 17:55:43,6,1,37,1,37
415,O100415,2025-10-22 20:21:26,28,3,28,0,28
416,O100416,2025-12-06 20:11:49,1,1,235,0,235
417,O100417,2026-02-26 11:28:17,3,2,91,1,91
418,O100418,2026-01-20 19:49:05,2,1,296,0,296
419,O100419,2026-01-04 20:24:00,1,1,220,1,220
420,O100420,2025-12-08 19:33:12,1,1,192,0,192
421,O100421,2026-03-13 20:19:08,2,1,128,0,128
422,O100422,2025-10-03 20:19:18,8,1,157,0,157
423,O100423,2026-01-06 19:08:21,28,1,269,1,269
424,O100424,2025-12-29 11:14:46,28,1,97,0,97
425,O100425,2025-10-18 17:41:50,1,3,12,0,12
426,O100426,2026-02-16 20:42:06,14,1,131,0,131
427,O100427,2026-01-08 13:35:16,9,1,60,1,60
428,O100428,2026-01-02 19:42:33,4,2,5,1,5
429,O100429,2025-10-13 17:39:07,4,2,71,1,71
430,O100430,2026-02-19 12:16:53,10,1,255,0,255
431,O100431,2025-10-28 11:31:58,3,3,210,1,210
432,O100432,2025-09-17 11:05:58,2,2,170,0,170
433,O100433,2025-10-10 19:04:46,17,3,253,0,253
434,O100434,2025-12-01 12:03:06,20,3,119,1,119
435,O100435,2026-03-09 13:47:07,2,2,149,1,149
436,O100436,2025-10-22 18:10:21,6,1,24,0,24
437,O100437,2025-12-21 19:11:07,7,4,138,0,138
438,O100438,2026-03-12 19:51:26,14,2,140,1,140
439,O100439,2026-03-14 19:54:10,2,3,58,0,58
440,O100440,2025-11-02 18:49:22,12,3,248,1,248
441,O100441,2026-01-19 12:26:28,1,1,67,1,67
442,O100442,2026-03-09 18:47:36,17,1,161,0,161
443,O100443,2026-01-05 18:15:30,5,2,174,0,174
444,O100444,2026-02-06 20:39:03,1,3,198,0,198
445,O100445,2026-01-21 19:04:48,9,1,259,1,259
446,O100446,2026-01-24 12:41:24,7,1,143,0,143
447,O100447,2026-02-10 17:54:31,8,1,236,1,236
448,O100448,2025-10-13 17:02:35,11,2,255,0,255
449,O100449,2026-03-03 18:21:23,21,2,156,0,156
450,O100450,2026-02-07 19:38:30,16,1,233,1,233
451,O100451,2025-10-11 19:14:00,5,2,232,0,232
452,O100452,2026-03-15 12:57:10,9,2,150,1,150
453,O100453,2025-11-21 18:12:07,26,1,210,0,210
454,O100454,2025-12-12 12:26:02,26,3,235,0,235
455,O100455,2026-01-12 18:32:08,27,1,64,1,64
456,O100456,2026-02-13 18:32:49,26,1,25,1,25
457,O100457,2025-10-19 12:42:38,12,1,297,0,297
458,O100458,2026-02-19 20:48:15,4,4,197,1,197
459,O100459,2025-10-21 12:38:44,24,1,151,1,151
460,O100460,2026-02-05 18:12:13,13,1,281,1,281
461,O100461,2026-03-02 20:11:32,10,2,177,0,177
462,O100462,2026-02-07 18:36:42,16,2,60,1,60
463,O100463,2026-01-03 19:33:06,1,1,274,1,274
464,O100464,2025-11-24 19:10:18,15,1,29,0,29
465,O100465,2025-11-08 19:02:22,20,1,32,1,32
466,O100466,2026-03-01 18:15:32,19,2,288,0,288
467,O100467,2025-12-23 17:50:43,5,2,148,0,148
468,O100468,2025-11-07 18:49:55,23,2,7,1,7
469,O100469,2025-11-05 13:11:43,1,4,189,0,189
470,O100470,2025-12-22 11:17:35,4,1,264,0,264
471,O100471,2025-12-10 17:59:09,1,3,131,0,131
472,O100472,2026-01-20 19:35:22,1,2,27,1,27
473,O100473,2025-11-03 18:50:32,2,1,270,0,270
474,O100474,2025-12-15 12:13:42,5,1,207,0,207
475,O100475,2026-02-07 20:41:00,2,1,112,1,112
476,O100476,2025-09-27 19:20:24,26,3,124,0,124
477,O100477,2026-02-02 19:01:58,10,2,198,1,198
478,O100478,2026-01-19 11:57:41,3,1,264,1,264
479,O100479,2026-02-01 18:40:04,3,2,50,0,50
480,O100480,2025-10-13 12:53:44,23,2,110,1,110
